S0	friends atdinner
S1	Three gentlemen sitting at a table at a dinner party
S2	Three men are sitting down at a table that has drinks on it.
S3	Three men in suits sitting at a table.
S4	Three men wearing ties and suit coats pose at a table.
S5	A black and wood colored dining room set in a small apartment.
S6	A dining table and chairs in a large white room.
S7	A picture overlooking a small table.
S8	Black and brown table in living room setting.
S9	Room with wooden dining table.
S10	A family poses for a picture while out at a restaurant.
S11	A family smiles for a photo taken while out to dinner at a restaurant.
S12	A group of people sitting at a restaurant table.
S13	Group of people sitting around a restaurant dining table.
S14	Six people are seated at a restaurant table and looking into the camera.
S15	girls at atable
S16	Students enjoy breakfast at their apartment.
S17	Two girls sitting at the breakfast table
S18	Two women sitting at a cluttered table
S19	Women sitting at table full of dishes.
S20	A man in a white shirt sitting at a small cluttered table.
S21	A man sits looking at a laptop computer on a messy table.
S22	A man using a computer on a messy table.
S23	The man is sitting at a messy table and using a laptop.
S24	Young man sitting at messy table staring at laptop.
S25	A group of people sitting around a dining table, the men dressed in military dress.
S26	A group of six people sit around a table with red cloth napkins.
S27	A group of six people sitting at a table with salad served.
S28	Dinner with soldiers and the wives.
S29	There are three women and three men in uniform sitting at a table with seven plates of salad on the table.
S30	A group of five people sitting at a table with water glasses on it.
S31	A mixed-race family poses for a photo while at a restaurant.
S32	five people sitting at a table in a restaurant overlooking a view of a city
S33	Four adults and a young girl sitting at the table.
S34	Group of people sitting at long white table.
S35	Several people holding glasses of wine at table.
S36	There people pose at a table with a wine bottle.
S37	Three people drinking at a restaurant.
S38	Two men and a woman at a table drinking wine.
S39	Two men and a woman drink alcohol at a diner.
S40	A close up of the center of a dining room table with a wine glass and silver kettle.
S41	A dining table with candles, wine, and a teapot.
S42	An empty wine glass and silver teapot sitting on a dining table.
S43	A wine glass, coffee pot and candles on top a tan table.
S44	Small turntable in center of kitchen table.
S45	A group of four people in a dinner having cake.
S46	Four friends having cake in a restaurant with a blue table cloth.
S47	Four people eating dessert around a table.
S48	Four smiling people eating cake.
S49	Three young women and a young man sitting at a table eating cake.
S50	A kitchendining room with a computer workstation
S51	A kitchen table with chairs and a computer work station nearby.
S52	A kitchen with a computer in it.
S53	An orange light fixtures hangs in a kitchen
S54	The interior of someone's home including kitchen, hall, and bathroom.
S55	Two smiling women holding a baby.
S56	Two woman pose in a dining room with a baby.
S57	Two women and a baby pose in front of a dining room.
S58	Two women posing with a baby.
S59	Two women smiling at the camera while one of them holds a small child.
S60	A close-up of a head table set with gray napkins in stemmed water glasses.
S61	A long table is topped with a line of goblets stuffed with silver cloth napkins.
S62	A row of glasses filled with white linen napkins stretches down a long table.
S63	A table with a row of wine glasses with napkins in them.
S64	wine glasses lined up in a row on a banquet table
S65	A naturally stained wooden table with four chairs.
S66	Close up of a wooden table and four chairs.
S67	There is a wooden table with two wooden chair on either side.
S68	This is a wooden table with four chairs in partial sunlight.
S69	Wood table with four chairs.
S70	A pug dog and pup play with a bone on the floor.
S71	A standing dog looks at a dog lying on the floor.
S72	A young pug lying down with adult pug staring down at him.
