R0	Ardent Software
R1	Beowulf Project at CESDIS
R2	Klaus Tschira Stiftung gemeinn
R3	The MPEG Home Page
R4	Transaction Processing Performance Council
R5	KAFFE
R6	The SGML/XML Web Page
R7	WfMC Standards: The Workflow Reference Model, Version 1.1.
R8	The Future of Classic Data Administration: Objects + Databases + CASE
R9	XML Query Data Model
R10	The XML Query Algebra
R11	XML Query Requirements
R12	XML-QL: A Query Language for XML
R13	XQuery: A Query Language for XML
R14	W3C: Extensible Markup Language (XML) 1.0
R15	XML Query Use Cases
R16	W3C: Document Oject Model (DOM)
R17	Internet Draft: Hypertext Transfer Protocol - HTTP/1.1
R18	W3C: Extensible Stylesheet Language (XSL)
R19	W3C: The w3c Query Language Workshop, December 1998, Boston, MA, USA
R20	Request for Comments: 1738, Uniform Resource Locators (URL)
R21	W3C - The World Wide Web Consortium
R22	OMG, UML Notation Guide, Version 1.1
R23	Ontos
R24	Google
R25	Java Language Home Page
R26	Poet
R27	MetaCrawler
R28	Versant ODBMS
R29	Yahoo
R30	Persistence Software
R31	Lycos
R32	IBM DB2
R33	Objectstore
R34	AltaVista
R35	Objectivity White Paper: Choosing an Object Database
R36	Self-organizing Map
R37	Shared Interfaces for Co-located Interaction.
R38	The Semantic Product Memory: An Interactive Black Box for Smart Objects.
R39	Speech Recognition.
R40	Dialogue Systems Go Multimodal: The SmartKom Experience.
R41	Supervised Learning.
R42	SmartKom-Public.
R43	Visuo-spatial Working Memory as a Limited Resource of Cognitive Processing.
R44	The Evolution of a Connectionist Model of Situated Human Language Understanding.
R45	From Resource-Adaptive Navigation Assistance to Augmented Cognition.
R46	Perspectives on Reasoning About Time.
R47	3D Simulation: the Key to A.I.
R48	A SemProM Use Case: Maintenance of Factory and Automotive Components.
R49	A SemProM Use Case: Health Care and Compliance.
R50	Discourse Modeling.
R51	Controlling Interaction with Digital Product Memories.
R52	Comparison of Machine Learning Techniques for Bayesian Networks for User-Adaptive Systems.
R53	The Logic of Intelligence.
R54	The New AI: General 
R55	SmartKom-Mobile Car: User Interaction with Mobile Services in a Car Environment.
R56	Multiple Biometrics.
R57	Foundations of Rule Learning
R58	A Review of the Development of Embodied Presentation Agents and Their Application Fields.
R59	Ubiquitous Display Environments
R60	Integrating Smart Classroom and Language Services.
R61	Collaborative Translation Protocols.
R62	Natural Language Understanding.
R63	Machine Learning Techniques for Face Analysis.
R64	What Makes Characters Seem Life-Like?
R65	Considering the Aesthetics of Ubiquitous Displays.
R66	Evaluation of Multimodal Dialogue Systems.
R67	SemProM - Foundations of Semantic Product Memories for the Internet of Things
R68	Facts and Figures About the SmartKom Project.
R69	Audience Measurement for Digital Signage: Exploring the Audience's Perspective.
R70	Resource-Bounded Modelling and Analysis of Human-Level Interactive Proofs.
R71	gUI: Specifying Complete User Interaction.
R72	Shallowand Inner Forms of Emotional Intelligence in Advisory Dialog Simulation.
R73	The Smart SemProM.
R74	The Novamente Artificial Intelligence Engine.
R75	Multimodal Speech Synthesis.
R76	A SemProM Use Case: Tracking 
