R0	One jet lands at an airport while another takes off next to it.
R1	Two airplanes parked in an airport.
R2	Two jets taxi past each other.
R3	Two parked jet airplanes facing opposite directions.
R4	two passenger planes on a grassy plain
R5	Two gentleman talking in front of propeller plane.
R6	Two men are conversing next to a small airplane.
R7	Two men talking in front of a plane
R8	Two men talking in front of a small plane.
R9	Two men talk while standing next to a small passenger plane at an airport.
R10	A D-ERFW-6 in flight.
R11	An army green plane flying in the sky.
R12	An old fighter plane flying with German military markings.
R13	A small green and yellow plane in the sky.
R14	A WWII fighter plane with its landing gear down.
R15	a larger plane in flying above a smaller plane
R16	Black and white scene of two planes flying.
R17	Two airplanes in the sky.
R18	Two fighter planes mid-flight.
R19	Two military planes fly near each other.
R20	A blue grounded fighter jet is parked on grass in front of a glass building.
R21	A blue jet stopped on a lawn.
R22	A fighter jet sits on display.
R23	A jet plane on exhibit in front of a modern building.
R24	Blue fighter jet parked in the green grass.
R25	An airplane sitting on the tarmac at an airport with another plane in the background.
R26	A white an blue airplane parked at the airport near another small plane.
R27	Blue and white airplane parked.
R28	two airplanes are waiting on the tarmac
R29	Two airplanes parked at the airport.
R30	An airplane approaches a runway.
R31	An Swiss-Air flight has just taken off from a runway.
R32	A white Swiss airplane approaches the runway.
R33	The Swiss airline arrives safely.
R34	The white airplane is flying.
R35	Fighter jet formation flying over lake.
R36	Five jets screech across the sky at low altitude above a river in a small city.
R37	Jets flying across the sky over the water by a city.
R38	Six jets are flying over the ocean.
R39	The Blue Angels flying over a river with a skyline in the background.
R40	A green and gray plane is taking off from the runway.
R41	A green and white cargo plane taking of from an airport.
R42	A green and white jet taking off.
R43	A Jade Cargo jet in green and white taking off from an airport.
R44	White and green commercial airliner taking off of runway.
R45	A small plane parked at an airfield with a cloudy sky overhead.
R46	A small white plane parked in an airport on a cloudy day.
R47	Close up of plane grounded at the airport.
R48	Propeller plane parked on runway at sunset.
R49	The right front of a twin engine propeller driven airplane.
R50	A boat is in the water and a small airplane is on the dock.
R51	A boat is on the water near a small plane.
